"method","seed","accept_rate","best_score","mean_edge_posterior","posterior_entropy"
"manual_order",1,0.391333333333333,-1435.26656600992,0.167797619047619,0.165820702813998
"manual_order",2,0.311333333333333,-1460.77164345079,0.180758928571429,0.132161070684274
"manual_partition",1,0.460666666666667,-1435.26656600992,0.168497023809524,0.15839227331932
"manual_partition",2,0.458,-1460.77164345079,0.176755952380952,0.0922520648926749
"manual_structure",1,0.404666666666667,-1437.18607033287,0.155119047619048,0.155078759747082
"manual_structure",2,0.467333333333333,-1548.00213805135,0.208839285714286,0.179177098786685
