"paper","experiment_group","data_source","p","n","seed","method","implementation","runtime","SHD","TPR","FPR","Precision","F1","acceptance_rate","mean_edge_entropy","posterior_gap","status","error","comparable_level","original_paper_trend","comment"
"Kuipers, Suter and Moffa (2022)","hybrid_iterative","simulated_p40",40,200,1,"iterative","BiDAG",32.8300000000004,14,0.904761904761905,0.00922266139657444,0.730769230769231,0.808510638297872,NA,0.0512678085265146,0.907910757421919,"success","","approximate","",""
"Kuipers, Suter and Moffa (2022)","hybrid_iterative","simulated_p40",40,200,2,"iterative","BiDAG",37.1500000000001,16,0.85,0.0105263157894737,0.68,0.755555555555556,NA,0.0525382954115839,0.919258694510643,"success","","approximate","",""
