"method","runtime","status","error","SHD","TPR","FPR","precision","recall","F1","p","n","expected_degree","seed","mcmc_steps","burnin"
"order",1.16,"success",NA,6,0.736842105263158,0.00705052878965922,0.7,0.736842105263158,0.717948717948718,30,500,2,1,1000,200
"partition",1.78,"success",NA,6,0.684210526315789,0.00705052878965922,0.684210526315789,0.684210526315789,0.684210526315789,30,500,2,1,1000,200
"order",1,"success",NA,22,0.702702702702703,0.0240096038415366,0.565217391304348,0.702702702702703,0.626506024096386,30,500,2,2,1000,200
"partition",3.97,"success",NA,4,0.918918918918919,0.00480192076830732,0.894736842105263,0.918918918918919,0.906666666666667,30,500,2,2,1000,200
