"method","p","n","runtime","SHD","TPR","FPR","precision","recall","F1"
"order",20,100,0.843333333333332,8,0.768253968253968,0.0156549964438234,0.694152661064426,0.768253968253968,0.728110599078341
"partition",20,100,3.67,9,0.63968253968254,0.0229559421233902,0.561694847020934,0.63968253968254,0.597979797979798
"order",20,200,0.899999999999999,3.33333333333333,0.850793650793651,0.00829050317692759,0.831349206349206,0.850793650793651,0.840757808499744
"partition",20,200,3.28,5.66666666666667,0.820634920634921,0.0155992263639013,0.70498247608222,0.820634920634921,0.757575757575758
"order",20,500,0.796666666666666,3,0.86031746031746,0.00734423977575757,0.841269841269841,0.86031746031746,0.850465243568692
"partition",20,500,3.04333333333333,3,0.86031746031746,0.00827274488253564,0.828282828282828,0.86031746031746,0.843820725296267
"order",20,1000,0.823333333333335,2.66666666666667,0.868253968253969,0.00645125125776333,0.868253968253969,0.868253968253969,0.868253968253969
"partition",20,1000,2.73666666666666,2.66666666666667,0.868253968253969,0.00737975636454143,0.855988455988456,0.868253968253969,0.861978589885567
