"method","p","n","runtime","SHD","TPR","FPR","precision","recall","F1"
"order",10,200,1.15,3.33333333333333,0.796296296296296,0.0383032605254828,0.757834757834758,0.796296296296296,0.776296296296296
"partition",10,200,5.02666666666667,3,0.787037037037037,0.038144982589427,0.746438746438746,0.787037037037037,0.765925925925926
"order",20,200,1.42666666666667,3.33333333333333,0.850793650793651,0.00829050317692759,0.831349206349206,0.850793650793651,0.840757808499744
"partition",20,200,6.92,5.66666666666667,0.820634920634921,0.0155992263639013,0.70498247608222,0.820634920634921,0.757575757575758
"order",10,500,1.32666666666667,3,0.796296296296296,0.0340297562519785,0.781339031339031,0.796296296296296,0.788518518518519
"partition",10,500,5.45,1.66666666666667,0.888888888888889,0.0213675213675214,0.867521367521367,0.888888888888889,0.877777777777778
"order",20,500,1.66666666666667,3,0.86031746031746,0.00734423977575757,0.841269841269841,0.86031746031746,0.850465243568692
"partition",20,500,6.4,3,0.86031746031746,0.00827274488253564,0.828282828282828,0.86031746031746,0.843820725296267
