"method","max_parents","runtime","SHD","TPR","FPR","precision","recall","F1"
"manual_order",1,1.955,6,0.325,0.0742753623188406,0.452380952380952,0.325,0.378151260504202
"manual_partition",1,2.79,5.5,0.3875,0.0638586956521739,0.535714285714286,0.3875,0.449579831932773
"manual_structure",1,0.68,10.5,0.1625,0.10643115942029,0.226190476190476,0.1625,0.189075630252101
"manual_order",2,4.625,4.5,0.675,0.0643115942028985,0.675,0.675,0.675
"manual_partition",2,4.965,5.5,0.575,0.0860507246376812,0.575,0.575,0.575
"manual_structure",2,0.890000000000001,8,0.5,0.128170289855072,0.430555555555556,0.5,0.462566844919786
"manual_order",3,7.545,2,0.85,0.0326086956521739,0.85,0.85,0.85
"manual_partition",3,7.845,2,0.85,0.0326086956521739,0.85,0.85,0.85
"manual_structure",3,0.904999999999999,6.5,0.6,0.105978260869565,0.518181818181818,0.6,0.555555555555556
